mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
17	17	72	72	3.0	0	0	Chord	9/8	2	2	3/4		1/2	3/2	189												
18	18	153/2	153/2	0.5	0	0	Chord	9/8	1	1	1/8		1/8	1	190									6			
18	18	77	77	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	191									6			
18	18	155/2	155/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	192									6			
18	18	78	78	0.75	3/8	3/8	Chord	9/8	1	1	3/16		1/8	3/2	193									6			
18	18	315/4	315/4	0.0	9/16	9/16	Chord	9/8	1	1	0	acciaccatura	1/8	3/2	194									6			
18	18	315/4	315/4	0.75	9/16	9/16	Chord	9/8	1	1	3/16		1/8	3/2	195									6			
18	18	159/2	159/2	1.5	3/4	3/4	Chord	9/8	1	1	3/8		1/4	3/2	196									6			
18	18	153/2	153/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	197												
18	18	77	77	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	198												
18	18	155/2	155/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	199												
18	18	78	78	0.75	3/8	3/8	Chord	9/8	2	1	3/16		1/8	3/2	200												
18	18	315/4	315/4	0.75	9/16	9/16	Chord	9/8	2	1	3/16		1/8	3/2	201												
18	18	159/2	159/2	1.5	3/4	3/4	Chord	9/8	2	1	3/8		1/4	3/2	202												
19	19	81	81	0.0	0	0	StaffText	9/8	1	1	0							peu à peu cresc. et animé						6			
19	19	81	81	0.75	0	0	Chord	9/8	1	1	3/16		1/8	3/2	203									6			
19	19	327/4	327/4	0.75	3/16	3/16	Chord	9/8	1	1	3/16		1/8	3/2	204									6			
19	19	165/2	165/2	0.75	3/8	3/8	Chord	9/8	1	1	3/16		1/8	3/2	205									6			
19	19	333/4	333/4	0.75	9/16	9/16	Chord	9/8	1	1	3/16		1/8	3/2	206									6			
19	19	84	84	0.75	3/4	3/4	Chord	9/8	1	1	3/16		1/8	3/2	207									6			
19	19	339/4	339/4	0.75	15/16	15/16	Chord	9/8	1	1	3/16		1/8	3/2	208												
19	19	165/2	165/2	1.5	3/8	3/8	Chord	9/8	2	1	3/8		1/4	3/2	209												
19	19	84	84	1.5	3/4	3/4	Chord	9/8	2	1	3/8		1/4	3/2	210												
19	19	81	81	4.5	0	0	Chord	9/8	2	2	9/8		1/2	9/4	211												
19	19	327/4	327/4	0.75	3/16	3/16	Chord	9/8	2	3	3/16		1/8	3/2	212									7			
19	19	165/2	165/2	0.75	3/8	3/8	Chord	9/8	2	3	3/16		1/8	3/2	213									7			
19	19	333/4	333/4	0.75	9/16	9/16	Chord	9/8	2	3	3/16		1/8	3/2	214									7			
19	19	84	84	0.75	3/4	3/4	Chord	9/8	2	3	3/16		1/8	3/2	215									7			
19	19	339/4	339/4	0.75	15/16	15/16	Chord	9/8	2	3	3/16		1/8	3/2	216												
20	20	86	86	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	217		articTenutoAbove							8			
20	20	173/2	173/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	218		articTenutoAbove							8			
20	20	87	87	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	219		articTenutoAbove							8			
20	20	175/2	175/2	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	220		articTenutoAbove							8			
20	20	88	88	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	221		articTenutoAbove							8			
20	20	177/2	177/2	1.5	3/4	3/4	Chord	9/8	1	1	3/8		1/4	3/2	222		articTenutoAbove										
20	20	86	86	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	223		articTenutoBelow							9			
20	20	173/2	173/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	224		articTenutoBelow							9			
20	20	87	87	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	225		articTenutoBelow							9			
20	20	175/2	175/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	226		articTenutoBelow							9			
20	20	88	88	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	227		articTenutoBelow							9			
20	20	177/2	177/2	1.5	3/4	3/4	Chord	9/8	2	1	3/8		1/4	3/2	228		articTenutoAbove										
20	20	171/2	171/2	3.0	0	0	Chord	9/8	2	2	3/4		1/2	3/2	229												
21	21	363/4	363/4	0.75	3/16	3/16	Chord	9/8	1	1	3/16		1/8	3/2	230									10			
21	21	183/2	183/2	0.75	3/8	3/8	Chord	9/8	1	1	3/16		1/8	3/2	231									10			
21	21	369/4	369/4	0.75	9/16	9/16	Chord	9/8	1	1	3/16		1/8	3/2	232									10			
21	21	93	93	0.75	3/4	3/4	Chord	9/8	1	1	3/16		1/8	3/2	233									10			
21	21	375/4	375/4	0.75	15/16	15/16	Chord	9/8	1	1	3/16		1/8	3/2	234												
21	21	363/4	363/4	2.25	3/16	3/16	Chord	9/8	1	2	9/16		1/4	9/4	235												
21	21	93	93	1.5	3/4	3/4	Chord	9/8	1	2	3/8		1/4	3/2	236												
21	21	363/4	363/4	2.25	3/16	3/16	Chord	9/8	2	1	9/16		1/4	9/4	237												
21	21	93	93	1.5	3/4	3/4	Chord	9/8	2	1	3/8		1/4	3/2	238												
21	21	90	90	4.5	0	0	Chord	9/8	2	2	9/8		1/2	9/4	239												
21	21	363/4	363/4	0.75	3/16	3/16	Chord	9/8	2	3	3/16		1/8	3/2	240									11			
21	21	183/2	183/2	0.75	3/8	3/8	Chord	9/8	2	3	3/16		1/8	3/2	241									11			
21	21	369/4	369/4	0.75	9/16	9/16	Chord	9/8	2	3	3/16		1/8	3/2	242									11			
21	21	93	93	0.75	3/4	3/4	Chord	9/8	2	3	3/16		1/8	3/2	243									11			
21	21	375/4	375/4	0.75	15/16	15/16	Chord	9/8	2	3	3/16		1/8	3/2	244												
22	22	95	95	0.5	1/8	1/8	Chord	9/8	1	1	1/8		1/8	1	245		articTenutoAbove							12			
22	22	191/2	191/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	246		articTenutoAbove							12			
22	22	96	96	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	247		articTenutoAbove							12			
22	22	193/2	193/2	0.5	1/2	1/2	Chord	9/8	1	1	1/8		1/8	1	248		articTenutoAbove							12			
22	22	97	97	0.5	5/8	5/8	Chord	9/8	1	1	1/8		1/8	1	249		articTenutoAbove							12			
22	22	195/2	195/2	1.5	3/4	3/4	Chord	9/8	1	1	3/8		1/4	3/2	250		articTenutoAbove										
22	22	95	95	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	251		articTenutoAbove							13			
22	22	191/2	191/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	252		articTenutoAbove							13			
22	22	96	96	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	253		articTenutoAbove							13			
22	22	193/2	193/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	254		articTenutoAbove							13			
